"Sample_ID","NAT_LOC","Sample_type","WaterYear","Site_name","River","Watershed","Lat_dd","Long_dd","Source","Sr8786","SD"
"10","FEH","otolith_juvenile",2002,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706937108,NA
"119","MOH","otolith_juvenile",2002,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.707322386,NA
"142","CNH","otolith_juvenile",2000,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.705323684,NA
"143","CNH","otolith_juvenile",2000,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.705376123,NA
"144","MOH","otolith_juvenile",2002,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.707470607,NA
"146","MOH","otolith_juvenile",2002,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.707362706,NA
"150","CNH","otolith_juvenile",2000,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.705064516,NA
"17","FEH","otolith_juvenile",2002,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.707064229,NA
"18","FEH","otolith_juvenile",2002,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.707194262,NA
"191","CNH","otolith_juvenile",2000,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.705406532,NA
"20602","YUB","otolith_juvenile",2002,"Yuba River","Yuba River","Yuba River",39.223357,-121.294154,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.708218942,NA
"213","MEH","otolith_juvenile",2002,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.70859515,NA
"216","MEH","otolith_juvenile",2002,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.70863376,NA
"217","MEH","otolith_juvenile",2002,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.708596784,NA
"221","CNH","otolith_juvenile",2000,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706146679,NA
"230","MEH","otolith_juvenile",2002,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.708602075,NA
"268","STA","otolith_juvenile",2002,"Stanislaus River","Stanislaus River","Stanislaus River",37.810022,-120.673784,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706573478,NA
"269","STA","otolith_juvenile",2002,"Stanislaus River","Stanislaus River","Stanislaus River",37.810022,-120.673784,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706640946,NA
"270","STA","otolith_juvenile",2002,"Stanislaus River","Stanislaus River","Stanislaus River",37.810022,-120.673784,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706610902,NA
"277","STA","otolith_juvenile",2002,"Stanislaus River","Stanislaus River","Stanislaus River",37.810022,-120.673784,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706631251,NA
"286","MOH","otolith_juvenile",2002,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.707636023,NA
"309","STA","otolith_juvenile",2002,"Stanislaus River","Stanislaus River","Stanislaus River",37.810022,-120.673784,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706416733,NA
"319","FEA","otolith_juvenile",2002,"Feather River","Feather River","Feather River",39.485643,-121.578279,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706179819,NA
"320","FEA","otolith_juvenile",2002,"Feather River","Feather River","Feather River",39.485643,-121.578279,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706101144,NA
"322","FEA","otolith_juvenile",2002,"Feather River","Feather River","Feather River",39.485643,-121.578279,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706160773,NA
"323","FEA","otolith_juvenile",2002,"Feather River","Feather River","Feather River",39.485643,-121.578279,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706119019,NA
"330","FEA","otolith_juvenile",2002,"Feather River","Feather River","Feather River",39.485643,-121.578279,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706115968,NA
"332","FEA","otolith_juvenile",2002,"Feather River","Feather River","Feather River",39.485643,-121.578279,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706180228,NA
"333","FEA","otolith_juvenile",2002,"Feather River","Feather River","Feather River",39.485643,-121.578279,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.706174431,NA
"384","YUB","otolith_juvenile",2002,"Yuba River","Yuba River","Yuba River",39.223357,-121.294154,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.708118565,NA
"388","YUB","otolith_juvenile",2002,"Yuba River","Yuba River","Yuba River",39.223357,-121.294154,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.708418359,NA
"389","YUB","otolith_juvenile",2002,"Yuba River","Yuba River","Yuba River",39.223357,-121.294154,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.708133618,NA
"468","NIH","otolith_juvenile",2002,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.709788278,NA
"485","NIH","otolith_juvenile",2002,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.709713331,NA
"5","FEH","otolith_juvenile",2002,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.707034725,NA
"8","FEH","otolith_juvenile",2002,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.707036606,NA
"9","FEH","otolith_juvenile",2002,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.70679727,NA
"AL040814-1","CNH","otolith_juvenile",2014,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705505278,NA
"AL040814-2","CNH","otolith_juvenile",2014,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.70620751,NA
"AL040814-3","CNH","otolith_juvenile",2014,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705740644,NA
"AL041514-1","CNH","otolith_juvenile",2014,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.706098363,NA
"AL041514-2","CNH","otolith_juvenile",2014,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.7058859475,NA
"AR18001","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709516179166383,NA
"AR18002","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709447090807284,NA
"AR18003","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709646500795859,NA
"AR18006","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709521618027895,NA
"AR18007","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709502549415997,NA
"AR18009","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709566679318231,NA
"AR18010","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709623840061449,NA
"AR18011","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709733441954505,NA
"AR18012","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709500535796612,NA
"AR18013","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.709937478685941,NA
"AR18014","AME","otolith_juvenile",2018,"American River","American River","American River",38.637822,-121.25476,"This study",0.7095617769116,NA
"AR99220","AME","otolith_juvenile",1999,"American River","American River","American River",38.637822,-121.25476,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.710213562,NA
"AR99223","AME","otolith_juvenile",1999,"American River","American River","American River",38.637822,-121.25476,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.710121019,NA
"AR99226","AME","otolith_juvenile",1999,"American River","American River","American River",38.637822,-121.25476,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.710236033,NA
"AR99227","AME","otolith_juvenile",1999,"American River","American River","American River",38.637822,-121.25476,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.709776357,NA
"AR99228","AME","otolith_juvenile",1999,"American River","American River","American River",38.637822,-121.25476,"Barnett-Johnson et al (2008). Limnology and Oceanography 53(4): 1633-1642.",0.710106741,NA
"BUT18002","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.704634645520763,NA
"BUT18003","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.704848955525478,NA
"BUT18006","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.704972114550422,NA
"BUT18007","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.704683233734278,NA
"BUT18008","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.704967911053962,NA
"BUT18009","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.704848340258992,NA
"BUT18010","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.705296380706004,NA
"BUT18011","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.704909924772538,NA
"BUT18012","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.705048805039684,NA
"BUT18013","BUT","otolith_juvenile",2018,"Butte Creek","Butte Creek","Lassen Tributaries",39.41964,-121.88109,"This study",0.7047557232641,NA
